x,y
2.109375000000000000e-01,5.468750000000000000e-02
2.109375000000000000e-01,2.148437500000000000e-01
2.070312500000000000e-01,2.226562500000000000e-01
1.992187500000000000e-01,2.343750000000000000e-01
1.835937500000000000e-01,2.460937500000000000e-01
1.718750000000000000e-01,2.500000000000000000e-01
-1.835937500000000000e-01,2.500000000000000000e-01
-9.765625000000000000e-02,-1.054687500000000000e-01
-9.375000000000000000e-02,-1.171875000000000000e-01
8.203125000000000000e-02,-2.343750000000000000e-02
2.109375000000000000e-01,5.468750000000000000e-02
-2.187500000000000000e-01,1.914062500000000000e-01
-2.226562500000000000e-01,1.875000000000000000e-01
-2.226562500000000000e-01,-1.992187500000000000e-01
-2.187500000000000000e-01,-2.109375000000000000e-01
-2.109375000000000000e-01,-2.265625000000000000e-01
-2.031250000000000000e-01,-2.343750000000000000e-01
-1.914062500000000000e-01,-2.421875000000000000e-01
-1.835937500000000000e-01,-2.460937500000000000e-01
1.718750000000000000e-01,-2.460937500000000000e-01
1.835937500000000000e-01,-2.421875000000000000e-01
1.992187500000000000e-01,-2.304687500000000000e-01
2.070312500000000000e-01,-2.187500000000000000e-01
2.109375000000000000e-01,-2.109375000000000000e-01
2.109375000000000000e-01,-1.171875000000000000e-02
-2.187500000000000000e-01,1.914062500000000000e-01
